prod_nm,menu1_nm,menu3_nm
전주전통육회비빕밥,한식,육회
50년삼계탕,한식,삼계탕
떡국(계절메뉴),한식,떡국
해물파전,한식,해물파전
황포묵무침,한식,무침
육회(대),한식,육회
육회(소),한식,육회
맥주,음료류,맥주
음료,음료류,음료수
순대국밥,한식,국밥
머리국밥,한식,국밥
막창따로국밥,한식,국밥
콩나물국밥,한식,국밥
따로국밥,한식,국밥
고기추가,한식,고기
공기밥,한식,공기밥
맥주,음료류,맥주
막걸리,음료류,막걸리
내장(대),한식,내장
내장(소),한식,내장
머리고기(대),한식,고기
머리고기(소),한식,고기
막창(대),한식,막창
막창(소),한식,막창
술안주국물(대),한식,안주
술안주국물(소),한식,안주
음료수,음료류,음료수
순대국밥,한식,국밥
머리국밥,한식,국밥
막창 따로 국밥,한식,국밥
콩나물국밥,한식,국밥
따로국밥,한식,국밥
고기추가,한식,고기
공기밥,한식,공기밥
내장(대),한식,내장
내장(소),한식,내장
머리고기(대),한식,고기
머리고기(소),한식,고기
막창(대),한식,막창
막창(소),한식,막창
술안주국물(대),한식,안주
술안주국물(소),한식,안주
소주/맥주/막걸리,음료류,막걸리
음료수,음료류,음료수
불낙전골(중),한식,전골
불낙전골(대),한식,전골
소불고기(1인분),한식,소불고기
떡갈비(1인분/180g),한식,떡갈비
삼계탕(계절/1인분),한식,삼계탕
갈낙전골(예약),한식,전골
갈비찜(예약),한식,갈비찜
찹쌀생주,한식,찹쌀
맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
전주비빔밥+떡갈비+파전(1인분/2인이상),한식,떡갈비
전주비빔밥,한식,비빔밥
육회비빔밥,한식,비빔밥
육회(200g),한식,육회
전주비빔밥+떡갈비+파전,한식,떡갈비
전주비빔밥,한식,비빔밥
육회비빔밥,한식,비빔밥
육회(200g),한식,육회
불낙전골(중),한식,전골
불낙전골(대),한식,전골
소불고기,한식,소불고기
떡갈비(180g),한식,떡갈비
삼계탕(계절메뉴),한식,삼계탕
갈낙전골,한식,전골
갈비찜,한식,갈비찜
찹쌀생주,한식,찹쌀
맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
청학동샤브정식(1인기준),한식,정식
청학동버섯전골(1인기준),한식,전골
청학동떡갈비,한식,떡갈비
새송이깐풍기,한식,깐풍기
표고탕수,한식,탕수
청학동버섯모듬전,한식,모둠
오리훈제,한식,훈제
고기만두,한식,만두
김치만두,한식,만두
새우만두,한식,만두
모둠만두,한식,만두
해물부추만두,한식,만두
비빔만두,한식,만두
고기튀김만두(4p),한식,만두
김치튀김만두(4p),한식,만두
우리쫄면,한식,쫄면
매운쫄면,한식,쫄면
쫄면엔만두,한식,만두
메밀소바,한식,소바
만두칼국수,한식,칼국수
어묵우동,한식,우동
유부우동,한식,우동
면이가는냉쫄면(여름특선별미),한식,쫄면
떡만두국,한식,떡만두국
만두국,한식,만두국
떡국,한식,떡국
모듬(대),한식,모둠
모듬(소),한식,모둠
한정식(4인),한식,정식
전주전통비빕밥,한식,
모주,한식,
파전,한식,
모주(1잔),한식,
모주(1병),한식,
모주,한식,
모주한잔,한식,
파전,한식,
모듬(대),한식,모둠
소주,음료류,소주
치즈만두(4p),한식,
콜라,한식,탄산음료
사이다,음료류,탄산음료
환타,음료류,탄산음료
모주,한식,
모주한잔,한식,
모듬(소),한식,모둠
소주,음료류,소주
황포묵,한식,
소주,음료류,소주
한정식(4인),한식,정식
불로장생(1인기준),한식,
모주,한식,
소주,음료류,소주
청학동오골계(2~3인분),한식,
비빔냉면,한식,비빔냉면
물냉면,한식,물냉면
콩국수,한식,콩국수
치즈돈가스,한식,돈까스
돈가스,한식,돈까스
함박가스,한식,함박
치즈김치볶음밥,한식,김치볶음밥
김치볶음밥,한식,김치볶음밥
토마토덮밥,한식,덮밥
치즈쫄볶이,한식,치즈
쫄볶이,한식,
해물볶음우동,한식,우동
치킨데리야끼우동,한식,우동
생선가스,한식,생선
The만글이(신포부대찌개),한식,
돈가스김치나베,한식,나베
돌솥비빔밥,한식,돌솥비빔밥
신포비빔밥,한식,비빔밥
낙지덮밥,한식,덮밥
신포순두부,한식,순두부
소고기뚝배기,한식,뚝배기
고기버섯덮밥,한식,덮밥
돌솥제육덮밥,한식,제육덮밥
돈가스커리라이스,한식,돈까스
치즈돈가스커리라이스,한식,돈까스
에스프레소(HOT),음료류,에스프레소
아메리카노(HOT),음료류,아메리카노
아메리카노(ICED),음료류,아메리카노
카페라떼(HOT),음료류,카페라떼
카페라떼(ICED),음료류,카페라떼
바닐라라떼(HOT),음료류,바닐라라떼
바닐라라떼(ICED),음료류,바닐라라떼
카라멜마끼아또(HOT),음료류,카라멜마끼아또
카라멜마끼아또(ICED),음료류,카라멜마끼아또
카페모카(HOT),음료류,카페모카
카페모카(ICED),음료류,카페모카
샷추가,제과류,
아이스티(ICED),음료류,아이스티
현미녹차(HOT),음료류,녹차
현미녹차(ICED),음료류,녹차
얼그레이(HOT),음료류,얼그레이
얼그레이(ICED),음료류,얼그레이
따자몽(HOT),음료류,자몽
녹차라떼(HOT),음료류,녹차라떼
녹차라떼(ICED),음료류,녹차라떼
홍차라떼(HOT),음료류,라떼
홍차라떼(ICED),음료류,라떼
핫초코(HOT),음료류,핫초코
아이스초코(ICED),음료류,초코
에이드(ICED),음료류,
스무디(ICED),음료류,
우유팥빙수(ICED),음료류,팥빙수
우유과일빙수(ICED),음료류,빙수
우유딸기빙수(ICED),음료류,빙수
망고소르베빙수(ICED),음료류,빙수
흑당버블라떼,음료류,라떼
불고기세트,한식,불고기
파전세트,한식,
떡갈비세트,한식,떡갈비
프리미엄세트메뉴_육회비빔밥,한식,비빔밥
프리미엄세트메뉴_현미밥변경시,한식,
전주식묵육회(180g),한식,육회
황포묵무침,한식,무침
해물파전,한식,해물파전
돌판불고기(180g),한식,불고기
떡갈비(180g),한식,떡갈비
야채불고기전골(2인이상/1인/150g),한식,전골
고궁전골(2인이상/겨울),한식,전골
야채불고기전골세트(2인이상),한식,불고기
고궁전골세트(2인이상/겨울),한식,전골
전주전통비빔밥,한식,비빔밥
돌솥비빔밥,한식,돌솥비빔밥
육회비빔밥,한식,비빔밥
고궁정식(1인/2인이상),한식,정식
식사류_현미비빔밥주문시,한식,비빔밥
이강주(도자기),한식,
이강주(유리병),한식,
모주(1병),한식,
모주(1잔),한식,
전주막걸리(1병),음료류,막걸리
맥주,음료류,맥주
소주,음료류,소주
음료수,음료류,음료수
연탄불돼지구이,한식,구이
김밥,한식,김밥
가락국수,한식,국수
닭도리탕,한식,닭볶음탕
김치찌개(大),한식,김치찌개
김치국밥,한식,국밥
낙지볶음&소면,한식,소면
연탄구이 굽기전 양념육 상태(330g),한식,구이
양념족발,한식,족발
오징어볶음,한식,오징어볶음
소면추가,한식,소면
닭발볶음(무뼈),한식,볶음
똥집볶음(기름장),한식,볶음
오뎅(계란2개),한식,어묵
공기밥,한식,공기밥
라면사리,한식,라면사리
백세주,음료류,백세주
산사춘,한식,산사춘
복분자,음료류,복분자
뽕주,한식,
청하,음료류,청하
모주,한식,
맥주(카스),음료류,맥주
맥주(테라),음료류,맥주
맥주(하이트),음료류,맥주
소주(참),음료류,소주
소주(진),음료류,소주
소주(처),음료류,소주
가시오가피,한식,
대나무,한식,
막걸리,음료류,막걸리
음료수(콜/500ml),음료류,음료수
음료수(스/500ml),음료류,음료수
음료수(환/500ml),음료류,음료수
음료수(콜/1.25L),음료류,음료수
음료수(스/1.25L),음료류,음료수
에스프레소(HOT),음료류,에스프레소
아메리카노(HOT),음료류,아메리카노
아메리카노(ICED),음료류,아메리카노
카페라떼(HOT),음료류,카페라떼
카페라떼(ICED),음료류,카페라떼
카푸치노(HOT),음료류,카푸치노
바닐라라떼(HOT),음료류,바닐라라떼
바닐라라떼(ICED),음료류,바닐라라떼
카페모카(HOT),음료류,카페모카
카페모카(ICED),음료류,카페모카
카라멜마끼아또(HOT),음료류,카라멜마끼아또
카라멜마끼아또(ICED),음료류,카라멜마끼아또
녹차(HOT),음료류,녹차
녹차(ICED),음료류,녹차
홍차(HOT),음료류,홍차
홍차(ICED),음료류,홍차
스팀우유(HOT),음료류,우유
아이스티(복숭아/ICED),음료류,아이스티
아이스청귤티(ICED),음료류,청귤
딸기버블라떼(ICED),음료류,라떼
흑당버블라떼(HOT),음료류,라떼
흑당버블라떼(ICED),음료류,라떼
초코라떼(HOT),음료류,초코라떼
초코라떼(ICED),음료류,초코라떼
녹차라떼(HOT),음료류,녹차라떼
녹차라떼(ICED),음료류,녹차라떼
자색고구마라떼(HOT),음료류,고구마라떼
자색고구마라떼(ICED),음료류,고구마라떼
따뜻하게즐기는과일티(청귤/HOT),음료류,과일차
따뜻하게즐기는과일티/자몽/HOT),음료류,과일차
따뜻하게즐기는과일티(유자/HOT),음료류,과일차
스무디(딸기/ICED),음료류,스무디
스무디(망고/ICED),음료류,스무디
스무디(키위/ICED),음료류,스무디
요거트쉐이크(블루베리/ICED),음료류,쉐이크
요거트쉐이크(딸기/ICED),음료류,쉐이크
흑당달고나라떼(ICED),음료류,달고나라떼
흑당달고나커피(ICED),음료류,커피
자이언트펭자두(ICED),음료류,자두
자이언트펭자몽(ICED),음료류,자몽
아이스프로스트(자두/ICED),음료류,
아이스프로스트(흑당밀크/ICED),음료류,
에이드(자몽/ICED),음료류,에이드
에이드(레몬/ICED),음료류,에이드
스파클링에이드(자두/ICED),음료류,에이드
스파클링에이드(청포도/ICED),음료류,에이드
우유빙수(팥/ICED),음료류,빙수
우유빙수(과일/ICED),음료류,
우유딸기빙수(ICED),음료류,빙수
망고소르베빙수(ICED),음료류,빙수
꽃빙수(딸기망고/ICED),음료류,빙수
꽃빙수(딸기라떼/ICED),음료류,빙수
바베큐,한식,바베큐
부안뽕주,한식,
백하,한식,
심술,한식,술
민들레대포,한식,
소주,음료류,소주
맥주,음료류,맥주
음료수,음료류,음료수
김치전골(1인기준/2인이상가능),한식,김치전골
김치전골_라면사리,한식,라면사리
동태찌게(1인기준/2인이상가능),한식,동태
불낙전골(1인기준/2인이상가능),한식,전골
소주,음료류,소주
맥주,음료류,맥주
음료수,음료류,음료수
크림퐁당(대),기타,크림
크림퐁당(중),기타,크림
허니치킨(대),일식,치킨
허니치킨(중),일식,치킨
2in1(대),기타,
2in1(중),기타,
케이준쉬림프골드(대),기타,케이준
케이준쉬림프골드(중),기타,케이준
케리비언플러스(대),기타,
케리비언플러스(중),기타,
밤스위트골드(대),기타,달콤
밤스위트골드(중),기타,달콤
불고기스테이크(대),일식,스테이크
불고기스테이크(중),일식,스테이크
포테이토골드(대),기타,감자
포테이토골드(중),기타,감자
라이스바이트(고구마/대),기타,
라이스바이트(고구마/중),기타,
라이스바이트(단호박/대),기타,
라이스바이트(단호박/중),기타,
라이스바이트(짱감자/대),기타,
라이스바이트(짱감자/중),기타,
라이스바이트(랍스타/대),기타,
라이스바이트(랍스타/중),기타,
라이스골드(고구마/대),기타,
라이스골드(고구마/중),기타,
라이스골드(단호박/대),기타,
라이스골드(단호박/중),기타,
라이스골드(짱감자/대),기타,
라이스골드(짱감자/중),기타,
라이스골드(랍스타/대),기타,
라이스골드(랍스타/중),기타,
치즈크러스트(고구마/대),양식,치즈
치즈크러스트(고구마/중),양식,치즈
치즈크러스트(단호박/대),양식,치즈
치즈크러스트(단호박/중),양식,치즈
치즈크러스트(짱감자/대),양식,치즈
치즈크러스트(짱감자/중),양식,치즈
치즈크러스트(랍스타/대),양식,치즈
치즈크러스트(랍스타/중),양식,치즈
석쇠피자(고구마/대),양식,피자
석쇠피자(고구마/중),양식,피자
석쇠피자(단호박/대),양식,피자
석쇠피자(단호박/중),양식,피자
석쇠피자(짱감자/대),양식,피자
석쇠피자(짱감자/중),양식,피자
석쇠피자(랍스타/대),양식,피자
석쇠피자(랍스타/중),양식,피자
팬피자(고구마/대),양식,피자
팬피자(고구마/중),양식,피자
팬피자(단호박/대),양식,피자
팬피자(단호박/중),양식,피자
팬피자(짱감자/대),양식,피자
팬피자(짱감자/중),양식,피자
팬피자(랍스타/대),양식,피자
팬피자(랍스타/중),양식,피자
라이스바이트(슈퍼슈프림/대),기타,
라이스바이트(슈퍼슈프림/중),기타,
라이스바이트(하와이언/대),기타,
라이스바이트(하와이언/중),기타,
라이스바이트(페퍼로니/대),기타,
라이스바이트(페퍼로니/중),기타,
라이스바이트(디럭스/대),기타,
라이스바이트(디럭스/중),기타,
라이스바이트(감자/대),기타,
라이스바이트(감자/중),기타,
라이스골드(슈퍼슈프림/대),기타,
라이스골드(슈퍼슈프림/중),기타,
라이스골드(하와이언/대),기타,
라이스골드(하와이언/중),기타,
라이스골드(페퍼로니/대),기타,
라이스골드(페퍼로니/중),기타,
라이스골드(디럭스/대),기타,
라이스골드(디럭스/중),기타,
라이스골드(감자/대),기타,
라이스골드(감자/중),기타,
치즈크러스트(슈퍼슈프림/대),양식,치즈
치즈크러스트(슈퍼슈프림/중),양식,치즈
치즈크러스트(하와이언/대),양식,치즈
치즈크러스트(하와이언/중),양식,치즈
치즈크러스트(페퍼로니/대),양식,치즈
치즈크러스트(페퍼로니/중),양식,치즈
치즈크러스트(디럭스/대),양식,치즈
치즈크러스트(디럭스/중),양식,치즈
치즈크러스트(감자/대),양식,치즈
치즈크러스트(감자/중),양식,치즈
석쇠피자(슈퍼슈프림/대),양식,피자
석쇠피자(슈퍼슈프림/중),양식,피자
석쇠피자(하와이언/대),양식,피자
석쇠피자(하와이언/중),양식,피자
석쇠피자(페퍼로니/대),양식,피자
석쇠피자(페퍼로니/중),양식,피자
석쇠피자(디럭스/대),양식,피자
석쇠피자(디럭스/중),양식,피자
석쇠피자(감자/대),양식,피자
석쇠피자(감자/중),양식,피자
팬피자(슈퍼슈프림/대),양식,피자
팬피자(슈퍼슈프림/중),양식,피자
팬피자(하와이언/대),양식,피자
팬피자(하와이언/중),양식,피자
팬피자(페퍼로니/대),양식,피자
팬피자(페퍼로니/중),양식,피자
팬피자(디럭스/대),양식,피자
팬피자(디럭스/중),양식,피자
팬피자(감자/대),양식,피자
팬피자(감자/중),양식,피자
라이스바이트(대),기타,
라이스바이트(중),기타,
라이스골드(대),기타,
라이스골드(중),기타,
치즈크러스트(대),양식,치즈
치즈크러스트(중),양식,치즈
석쇠피자(대),양식,피자
석쇠피자(중),양식,피자
팬피자(대),양식,피자
팬피자(중),양식,피자
한우불고기피자_한우핫불고기주문시,양식,불고기
치즈오븐스파게티,양식,치즈
미트스파게티,양식,
치즈스틱(3),패스트푸드,치즈스틱
치즈볼(3),기타,치즈볼
버팔로윙,양식,
포테이토,기타,감자
싱글레귤러,기타,
싱글킹,기타,
더블주니어,기타,
더블레귤러,기타,
파인트,기타,파인애플
쿼터,기타,
패밀리,기타,
하프갤런,기타,
버라이어티팩,기타,
핸드팩세트,기타,
싱글레귤러,기타,
싱글킹,기타,
더블쥬니어,기타,
더블레귤러,기타,
파인트,기타,파인애플
쿼터,기타,
패밀리,기타,
하프갤론,기타,
조선치킨(간장),일식,치킨
양념치킨,일식,양념치킨
후라이드치킨,패스트푸드,후라이드치킨
스모크치킨,일식,치킨
스페셜,기타,
다리,기타,
윙치킨(날개),일식,치킨
고추치킨,일식,치킨
신조선치킨(매운),일식,치킨
바베큐치킨(훈제),일식,치킨
치즈스노우버믈리,기타,치즈
골강정치킨(뼈),일식,치킨
골강정치킨(순살),일식,치킨
어니언치킨(뼈),일식,치킨
어니언치킨(순살),일식,치킨
스페셜치킨,일식,치킨
스페셜치킨(양념),일식,치킨
통통새우링(5개)+치즈스틱(5개),패스트푸드,치즈스틱
두툼등심돈까츠,기타,등심
말랑치즈돈까츠,기타,치즈
스노우감자튀김,패스트푸드,감자튀김
황도,기타,황도
조선생맥주(500cc),음료류,생맥주
조선생맥주(1700cc),음료류,생맥주
참이슬,음료류,소주
처음처럼,기타,소주
테라,기타,맥주
하이트,기타,
카스,기타,맥주
콜라(500nl),기타,탄산음료
콜라(1.25l),기타,탄산음료
사이다(500ml),음료류,탄산음료
사이다(1.25l),음료류,탄산음료
콩국수,한식,콩국수
열무냉면,한식,냉면
비빔냉면,한식,비빔냉면
비빔국수,한식,비빔국수
새알팥죽,기타,
팥칼국수,한식,칼국수
손칼국수,한식,칼국수
김치칼국수,한식,칼국수
수제비,한식,수제비
닭갈비(보통맛/1인분/200g),한식,닭갈비
닭갈비(중간매운맛/1인분/200g),한식,닭갈비
닭갈비(아주매운맛/1인분/200g),한식,닭갈비
어린이닭갈비(간장/1인분/200g),한식,닭갈비
돼지두루치기(1인분/200g),한식,두루치기
무뼈닭발볶음(1인분/200g),한식,볶음
닭볶음탕(한마리),한식,닭볶음탕
치즈사리,한식,치즈
떡사리,한식,
라면사리,한식,라면사리
당면사리,한식,면사리
우동사리,한식,우동사리
계란찜,한식,계란찜
누룽지,한식,누룽지
볶음밥(1인분),한식,볶음밥
공기밥,한식,공기밥
육개장,한식,육개장
닭개장,한식,
갈비탕,한식,갈비탕
소주,음료류,소주
맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
생곱창(1인분),한식,곱창
곱창전골(대),한식,곱창전골
곱창전골(소),한식,곱창전골
한우막창,한식,막창
비빔공기,한식,공기밥
칼국수,한식,칼국수
누룽지,한식,누룽지
물냉면,한식,물냉면
공기밥,한식,공기밥
초벌곱창(1인분),한식,곱창
삼겹살(200g),한식,삼겹살
왕갈비(1인분),한식,왕갈비
한우대창(1인분),한식,대창
소주,음료류,소주
맥주,음료류,맥주
복분자,음료류,복분자
산사춘,한식,산사춘
청하,음료류,청하
음료수,음료류,음료수
순대국밥,한식,국밥
머리고기(대),한식,고기
머리고기(소),한식,고기
막창순대(대),한식,
막창순대(소),한식,
잡채순대,한식,순대
하이트소주,음료류,소주
하이트맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
순대 국밥,한식,
피 순대,한식,
머리 고기,한식,
잡채 순대,한식,
꽃게장(2kg/포장판매),한식,
꽃게장(3kg/포장판매),한식,
이강주(25%),한식,
이강주(19%),한식,
흑주(대/14%),한식,
흑주(소/14%),한식,
찹쌀주,한식,
복분자,음료류,복분자
매취순,한식,
백세주,음료류,백세주
황진이,한식,
산사춘,한식,산사춘
뽕주,한식,
맥주(카스),음료류,맥주
맥주(테라),음료류,맥주
맥주(하이트),음료류,맥주
청하,음료류,청하
소주(참이슬),음료류,소주
소주(처음처럼),음료류,소주
소주(하이트),음료류,소주
막걸리,음료류,막걸리
모주,한식,
음료수,음료류,음료수
육회(대),한식,육회
육회(소),한식,육회
보리굴비(1마리),한식,
갈비찜,한식,갈비찜
불고기,한식,불고기
황태구이,한식,구이
더덕구이,한식,구이
낙지볶음,한식,낙지볶음
꽃게장,한식,꽃게
양념장,한식,양념
참게장,한식,
삼합(소),한식,삼합
삼합(중),한식,삼합
전복회,한식,전복
신선로,한식,
2인정식(1상/2인기준),한식,정식
2인정식(1상/2인기준),한식,정식
미(1상/3인4인기준,한식,
선(1상/3인4인기준),한식,
진(1상/3인4인기준),한식,
특(1상/3인4인기준),한식,
수라상(1상/3인4인기준/예약),한식,
불고기세트,한식,불고기
파전세트,한식,
떡갈비세트,한식,떡갈비
프리미엄세트메뉴_육회비빔밥,한식,비빔밥
프리미엄세트메뉴_현미밥변경시,한식,
전주식묵육회(180g),한식,육회
황포묵무침,한식,무침
해물파전,한식,해물파전
돌판불고기(180g),한식,불고기
떡갈비(180g),한식,떡갈비
야채불고기전골(2인이상/1인/150g),한식,전골
고궁전골(2인이상/겨울),한식,전골
야채불고기전골세트(2인이상),한식,불고기
고궁전골세트(2인이상/겨울),한식,전골
전주전통비빔밥,한식,비빔밥
돌솥비빔밥,한식,돌솥비빔밥
육회비빔밥,한식,비빔밥
고궁정식(1인/2인이상),한식,정식
식사류_현미비빔밥주문시,한식,비빔밥
이강주(도자기),한식,
이강주(유리병),한식,
모주(1병),한식,
모주(1잔),한식,
전주막걸리(1병),음료류,막걸리
맥주,음료류,맥주
소주,음료류,소주
음료수,음료류,음료수
한식백반(1인),한식,백반
갈치탕(1인),한식,갈치
아침백반(1인),한식,백반
매운갈비찜(3~4인),한식,갈비찜
매운갈비찜(2인),한식,갈비찜
순한갈비찜(3~4인),한식,갈비찜
순한갈비찜(2인),한식,갈비찜
산사춘,한식,산사춘
고택찹쌀생주,한식,찹쌀
민어초밥(1인),한식,초밥
연어초밥(1인),한식,초밥
참치초밥(1인),한식,초밥
새우초밥(1인),한식,초밥
특초밥(1인),한식,초밥
광어초밥(1인),한식,초밥
모듬초밥(1인),한식,초밥
계란초밥,한식,초밥
포장초밥(1인/12피),한식,
민어초밥(반인분),한식,
연어초밥(반인분),한식,
광어초밥(반인분),한식,
새우초밥(반인분),한식,
모듬초밥(반인분),한식,
전복조림,한식,조림
새우튀김,한식,새우튀김
민어튀김,한식,튀김
모듬안주,한식,안주
민어회(1인),한식,
광어회(1인),한식,광어
참치회(1인),한식,참치
전복탕,한식,전복
민어탕,한식,
대구탕,한식,대구탕
회정식(1인),한식,정식
회중식(1인),한식,
와다정식,한식,
꽃게장,한식,꽃게
보리굴비,한식,
전복죽,한식,전복죽
조기구기,한식,
회덮밥,한식,회덮밥
돈까스+우동,한식,
고등어구이(2인이상),한식,고등어구이
소바,한식,소바
우동,한식,우동
사케,한식,술
맥주,음료류,맥주
소주,음료류,소주
암뽕순대(대),한식,순대
암뽕순대(중),한식,순대
막창모듬(대),한식,모둠
막창모듬(중),한식,모둠
머리고기(대),한식,고기
머리고기(중),한식,고기
피순대,한식,순대
순대국밥(특),한식,국밥
순대만국밥,한식,국밥
순대국밥,한식,국밥
머리국밥,한식,국밥
뼈다구탕,한식,
소주,음료류,소주
맥주,음료류,맥주
막걸리,음료류,막걸리
음료수,음료류,음료수
찐빵선물포장(1BOX/15개),한식,
찐빵(1인분/3개),한식,빵
치즈야채찐빵(BOX/15개/예약),한식,
손만두(1인분/8개),한식,
찐빵선물포장(1BOX/15개),한식,
찐빵(1인분/3개),한식,빵
야채치즈찐빵(BOX/15개/예약),한식,
손만두(1인분/8개),한식,
SHINWHA SOONSAL,한식,
SHINWHA ORIGINAL,한식,
GARLIC SOY SOONSAL(R),한식,
GARLIC SOY ORIGINAL,한식,
GARLIC SOY STICK,한식,
GARLIC SOY WING,한식,
GARLIC SOY COMBO,한식,
RED SOONSAL(R),한식,
RED ORIGINAL,한식,
RED STICK,한식,
RED WING,한식,
RED COMBO,한식,
HONEY SOONSAL(R),한식,
HONEY ORIGINAL,한식,
HONEY STICK,한식,
HONEY COMBO,한식,
RED HONEY HALF & HALF SOONSAL,한식,
HALF&HALF SOONSAL(R),한식,
HALF&HALF ORIGINAL,한식,
HALF&HALF STICK,한식,
HALF&HALF WING,한식,
HALF&HALF COMBO,한식,
RED STICK(S)+HONEY SOONSAL(S),한식,
SIGNATURE SET BONELESS,한식,
SIGNATURE SET,한식,
RICE CHICKEN SET,음료류,
RICE CHICKEN SET_extra sauce,음료류,
SALSAL CHICKEN,한식,
SALSAL CHICKEN_additional order of sauce,한식,
SOY SALSAL,한식,
FRIED CHICKEN,한식,
FRIED CHICKEN_additional order of sauce,한식,
전복내장죽,한식,내장
진전복내장죽,한식,내장
특전복내장죽,한식,내장
전복죽,한식,전복죽
진전복죽,한식,전복죽
전복죽(특),한식,전복죽
트러플전복죽,한식,전복죽
트러플전복죽(특),한식,전복죽
삼계전복죽,한식,전복죽
홍게품은죽(기본),한식,
홍게품은죽(진),한식,
홍게품은죽(특),한식,
자연송이쇠고기죽,한식,소고기
특자연송이쇠고기죽,한식,소고기
6쪽마늘닭죽,한식,마늘
삼계죽,한식,
불낙죽,한식,
동지팥죽,한식,
동지팥죽_새알심5개,한식,
단호박죽,한식,호박
단호박죽_새알심5개,한식,단호박
녹두죽,한식,
가평잣죽,한식,
흑임자죽,한식,흑임자
흰죽,한식,
쇠고기야채죽,한식,야채
쇠고기버섯죽,한식,버섯
쇠고기미역죽,한식,소고기
통영굴버섯죽,한식,버섯
특통영굴버섯죽,한식,버섯
해물죽,한식,해물
특해물죽,한식,해물
새우죽,한식,새우
특새우죽,한식,새우
참치야채죽,한식,야채
7가지야채죽,한식,야채
낙지김치죽,한식,김치
해물김치해장죽,한식,해장
신짬뽕죽,한식,짬뽕
진품쇠고기육개장죽,한식,육개장
매생이굴죽,한식,
자연산눈꽃치즈,한식,치즈
새알심(5알),한식,
본쇠고기장조림(300g),한식,조림
본메추리알쇠고기장조림(150g),한식,조림
든든한끼본쇠고기장조림(80g),한식,조림
본황태초무침(150g),한식,무침
본비트동치미(1kg),한식,
단호박죽(270g),한식,호박
통단팥죽(270g),한식,
쇠고기죽(270g),한식,고기
누룽지닭죽(270g),한식,누룽지
본오미자골드(1.5L),한식,오미자
본오미자골드(500ml),음료류,오미자
본석류골드(1.5L),한식,석류
본석류골드(500ml),음료류,석류
본매실골드(1.5L),한식,매실
본매실골드(500ml),음료류,매실
양배추사과즙(1박스/100mlX10팩)),음료류,사과
양배추사과즙(1팩/100ml),음료류,사과
진짜배즙(1박스/100ml/10팩)),음료류,
진짜배즙(1팩/100ml),음료류,
단호박식혜(1박스/238ml/12캔),음료류,단호박
단호박식혜(1캔/238ml),음료류,단호박
닭고기애호박미역죽(180g),한식,닭고기
한우과일죽(180g),한식,과일
닭고기버섯죽(180g),한식,버섯
한우참깨애호박죽(180g),한식,호박
닭고기양송이진밥(180g),한식,송이버섯
한우야채진밥(180g),한식,한우
파인애플,기타,파인애플
키위,기타,키위
자몽+오렌지,기타,오렌지
오렌지,기타,오렌지
파인+바나나,기타,바나나
키위+바나나,기타,바나나
바나나+우유,음료류,우유
토마토,기타,토마토
자두,기타,자두
자몽,기타,자몽
파인+오렌지,기타,오렌지
천도복숭아,기타,복숭아
바게트버거,패스트푸드,햄버거
A세트,기타,
B세트,기타,
M세트,기타,
오늘의쥬스,음료류,
아메리카노(HOT),음료류,아메리카노
아메리카노(ICE),음료류,아메리카노
카페라떼(HOT),음료류,카페라떼
카페라떼(ICE),음료류,카페라떼
바닐라라떼(HOT),음료류,바닐라라떼
바닐라라떼(ICE),음료류,바닐라라떼
복숭아아이스티,음료류,복숭아아이스티
콜라,기타,탄산음료
사이다,음료류,탄산음료
캐모마일,기타,캐모마일
패퍼민트,기타,민트
모닝M셋트(am11:00까지),기타,
교촌에그마니샐러드,양식,샐러드
교촌마라떡볶이,중식,떡볶이
교촌샐러드,양식,샐러드
케이준치킨샐러드,양식,샐러드
교촌리얼치킨버거,패스트푸드,햄버거
교촌리얼치킨버거_음료,패스트푸드,음료수
교촌치즈볼(6개/퐁듀),양식,치즈볼
교촌치즈볼(6개/고르곤),기타,치즈볼
교촌닭갈비볶음밥(궁중),한식,볶음밥
교촌닭갈비볶음밥(닭갈비),한식,볶음밥
교촌닭갈비볶음밥_치즈토핑,한식,토핑
교촌웨지감자(홀용/400g),기타,감자
교촌웨지감자(배달및포장/200g),기타,감자
교촌칠리포테이트(홀용/400g),양식,칠리
교촌칠리포테이트(배달및포장/200g),양식,칠리
교촌통통치킨카츠,일식,치킨
교촌쫀드칸꽈배기(시나몬슈가/3개),제과류,치킨
교촌쫀드칸꽈배기(콘치즈/3개),제과류,치킨
교촌칩카사바(홀용/100g),기타,치킨
교촌칩카사바(배달및포장/50g),기타,치킨
교촌리얼후라이드,기타,후라이드
교촌리얼후라이드(순살),기타,후라이드
교촌라이스세트(한마리),기타,치킨
교촌신화오리지날(한마리),기타,치킨
교촌신화순살(정육),기타,순살
교촌반반오리지날(한마리),기타,치킨
교촌반반윙(날개),기타,치킨
교촌반반스틱(다리),기타,스틱
교촌반반콤보(날개+다리),기타,콤보
교촌허니오리지날(한마리),기타,치킨
교촌허니스틱(다리),기타,스틱
교촌허니콤보(날개+다리),기타,콤보
